longitude;latitude
-9.307.108;4.500.508
-9.304.598;4.502.129
-9.299.699;4.491.044
-9.306.791;4.500.436
-9.305.915;4.501.781
-9.298.661;4.491.509
-9.308.109;4.499.505
-9.300.227;4.498.271
-929.905;4.492.696
-930.656;4.501.891
-9.299.275;4.492.705
-9.299.828;4.492.987
-9.300.288;4.493.099
-9.298.898;4.491.149
-9.299.002;4.491.582
-9.299.942;4.492.868
-9.299.523;4.491.322
-9.300.082;4.490.662
-929.932;4.491.138
-9.299.156;4.492.666
-9.305.292;4.499.433
-9.300.182;4.490.741
-9.305.136;4.503.065
-9.306.093;4.501.616
-9.299.758;4.491.908
-9.308.452;4.500.377
-9.300.292;4.503.229
-9.304.215;4.500.849
-9.305.191;4.499.477
-9.298.799;4.491.018
-9.299.492;4.490.582
-9.299.658;4.491.313
-9.299.741;4.498.815
-9.305.645;4.501.601
-9.305.402;4.503.229
-9.305.716;4.501.479
-9.306.602;4.499.602
-9.299.803;4.498.806
-930.419;4.500.433
-9.305.645;4.501.628
-9.300.124;449.836
-9.300.274;4.490.577
-9.300.224;4.499.531
-9.298.603;4.491.702
-9.308.324;4.499.389
-9.299.869;4.491.413
-9.299.383;4.489.644
-9.300.674;4.503.579
-9.300.306;4.503.515
-9.305.351;4.502.116
-9.299.815;4.492.508
-9.308.746;4.499.675
-9.299.869;4.491.056
-9.306.114;450.186
-9.306.003;4.502.799
-9.305.258;4.503.079
-9.300.252;4.491.009
-929.957;4.498.704
-9.307.395;4.499.417
-930.726;4.500.042
-9.307.022;4.500.904
-9.298.996;4.491.427
-9.305.425;45.032
-9.298.691;449.152
-9.300.048;4.498.376
-9.299.226;4.489.408
-9.299.854;449.056
-9.306.525;4.501.874
-9.300.307;4.491.657
-9.298.675;4.491.755
-9.298.846;449.128
-9.299.723;4.490.579
-9.299.859;4.494.721
-9.301.026;4.498.837
-9.299.838;4.490.634
-9.305.063;4.503.085
-9.300.315;4.492.619
-9.299.752;449.208
-9.299.774;4.491.862
-9.299.572;4.492.157
-9.298.363;4.495.321
-9.298.364;4.495.322
-9.296.679;4.501.904
-9.296.674;4.501.904
-929.557;4.497.071
-9.295.722;449.752
-9.295.555;4.497.217
-9.295.111;4.496.879
-9.295.552;4.497.222
-9.296.742;450.186
-9.295.094;449.688
-9.295.043;4.496.798
-9.296.666;4.501.904
-9.295.304;4.496.695
-9.296.813;4.501.784
-9.295.724;4.497.512
-9.297.719;4.496.976
-9.297.024;4.498.274
null;null
-9.296.257;4.497.735
-9.297.025;449.827
null;null
-9.296.795;4.497.987
-9.297.612;4.495.854
-9.295.295;4.496.899
-9.295.008;449.684
-9.295.483;4.497.286
-9.296.965;4.498.165
-9.295.093;4.496.798
-929.677;4.501.831
-929.772;4.496.975
-9.295.287;449.698
-9.296.982;4.498.169
-929.529;449.671
-929.557;4.497.097
-929.746;4.496.945
-9.297.561;4.497.039
-9.297.654;4.497.019
-9.298.248;4.500.258
-9.296.995;4.498.179
-9.297.002;4.498.444
-9.297.262;4.495.152
-9.296.712;4.501.923
-929.772;4.496.975
-9.295.199;4.496.788
