latitude;longitude;walkscore;bikescore;;
4.496.975;-929.772;35; null;;
4.496.978;-9.297.717;35; null;;
4.490.841;-9.297.602;21; null;;
4.500.665;-9.297.334;10; null;;
4.489.482;-9.294.765;6; null;;
4.496.119;-9.294.545;29; null;;
4.490.363;-9.293.449;3; null;;
4.494.297;-9.292.436;59; null;;
4.489.787;-9.290.517;11; null;;
4.491.373;-9.289.885;12; null;;
449.164;-9.289.287;11; null;;
4.491.036;-9.288.377;5; null;;
449.031;-9.287.188;8; null;;
4.490.923;-9.287.059;10; null;;
4.493.061;-9.318.607;61;69;;
4.490.008;-9.318.093;44;57;;
4.497.938;-931.654;61;65;;
4.492.705;-9.315.905;76;64;;
4.495.281;-9.314.858;72;75;;
4.492.952;-931.418;48;59;;
4.495.745;-9.314.108;77;65;;
4.494.935;-9.313.615;74;59;;
4.497.353;-9.313.215;45;67;;
4.494.508;-9.311.829;80;72;;
4.497.565;-931.123;54;51;;
449.682;-9.308.258;68;73;;
4.498.927;-9.307.556;26;52;;
449.828;-9.307.074;65;61;;
449.952;-9.304.813;22; null;;
4.498.465;-9.302.979;58;55;;
4.497.574;-9.302.771;47;50;;
4.498.826;-9.302.675;71;58;;
4.502.597;-9.302.237;42; null;;
4.498.086;-9.302.133;37;57;;
4.496.976;-9.301.622;39;49;;
4.500.616;-9.297.813;18; null;;
4.501.742;-9.295.708;0; null;;
449.399;-9.294.546;47; null;;
4.488.244;-9.291.973;2; null;;
4.491.711;-9.291.242;14; null;;
4.493.016;-928.989;6; null;;
44.943;-9.289.838;53; null;;
4.491.158;-9.318.278;45;47;;
4.493.402;-9.316.269;69;68;;
4.498.029;-9.313.569;25;64;;
4.499.107;-9.312.705;18;38;;
4.498.532;-9.311.956;36;44;;
4.493.689;-9.311.687;55;79;;
4.498.262;-9.311.075;55;47;;
4.494.349;-9.310.956;75;64;;
4.496.817;-9.310.215;64;54;;
4.499.675;-9.308.746;27; null;;
4.497.672;-930.759;80;51;;
4.500.628;-9.304.678;28; null;;
4.495.118;-9.303.084;49;45;;
4.492.864;-9.302.083;4;27;;
4.496.446;-9.301.852;33;55;;
4.500.667;-9.301.792;34; null;;
4.494.083;-9.294.645;45; null;;
4.498.839;-9.293.086;1; null;;
4.487.105;-9.292.147;0; null;;
4.492.374;-9.289.223;13; null;;
4.490.043;-9.286.734;4; null;;
450.177;-9.286.511;10; null;;
4.495.274;-9.317.554;73;81;;
4.492.864;-9.317.261;61;70;;
4.495.375;-9.316.969;83;78;;
4.493.691;-9.316.492;71;71;;
4.497.197;-9.315.926;39;54;;
4.492.398;-9.313.517;66;63;;
449.434;-9.313.339;86;68;;
4.498.938;-9.313.186;20;41;;
4.495.775;-9.304.788;46;54;;
4.494.218;-9.301.902;14;51;;
4.499.473;-9.301.122;26; null;;
4.489.715;-929.562;3; null;;
4.490.002;-9.295.335;6; null;;
4.496.695;-9.295.263;34; null;;
4.491.157;-9.294.874;11; null;;
4.493.906;-9.294.302;56; null;;
4.491.355;-9.294.116;16; null;;
4.491.716;-9.291.504;14; null;;
4.491.604;-9.290.122;17; null;;
4.492.289;-928.909;11; null;;
4.490.339;-9.287.555;11; null;;
4.493.514;-9.318.912;56;67;;
4.499.077;-9.315.563;70;58;;
4.496.664;-9.315.348;40;59;;
44.965;-9.314.298;38;63;;
4.494.004;-9.312.645;87;74;;
4.491.304;-9.296.497;27; null;;
4.489.537;-9.287.928;0; null;;
4.490.922;-9.287.132;10; null;;
449.564;-9.320.557;27;72;;
4.493.603;-9.318.345;71;72;;
4.496.323;-9.315.361;45;65;;
4.492.488;-931.385;65;62;;
4.497.064;-9.311.116;63;53;;
4.495.709;-9.311.071;87;75;;
4.492.979;-9.309.874;44;65;;
4.492.955;-9.308.746;70;40;;
4.497.863;-9.307.121;77;54;;
4.497.194;-9.305.135;45;64;;
4.501.929;-9.302.641;28; null;;
4.499.879;-9.301.391;28; null;;
4.502.953;-9.300.789;38; null;;
4.491.108;-9.299.758;1; null;;
45.025;-9.297.303;16; null;;
4.490.982;-929.712;23; null;;
4.498.274;-9.297.024;3; null;;
4.496.316;-9.296.785;41; null;;
4.500.815;-9.296.063;9; null;;
4.491.826;-9.295.157;36; null;;
4.497.344;-9.295.124;16; null;;
4.489.283;-9.293.172;6; null;;
4.489.816;-9.292.433;13; null;;
4.490.739;-9.291.759;3; null;;
4.493.388;-928.979;11; null;;
4.491.316;-9.289.764;10; null;;
4.489.758;-9.288.594;1; null;;
4.491.298;-9.288.498;4; null;;
4.489.765;-928.762;5; null;;
4.498.319;-9.320.142;63;71;;
4.499.022;-9.312.771;18;38;;
4.498.847;-9.310.238;64;59;;
4.497.233;-9.305.869;62;51;;
4.501.931;-9.302.571;30; null;;
4.502.882;-9.300.379;34; null;;
4.489.495;-9.293.927;4; null;;
4.489.146;-9.288.833;0; null;;
4.489.508;-9.287.682;1; null;;
4.499.707;-92.871;11; null;;
4.501.369;-9.317.691;64; null;;
4.492.177;-9.316.281;61;57;;
4.492.698;-9.313.681;66;69;;
4.498.627;-9.311.342;45;41;;
4.494.888;-930.973;97;59;;
4.492.604;-9.307.947;70;48;;
449.723;-930.669;83;60;;
4.495.297;-9.305.635;56;55;;
4.496.265;-9.304.824;42;58;;
4.497.458;-9.302.922;47;47;;
4.499.815;-930.277;42; null;;
4.496.468;-9.301.186;39;62;;
4.493.875;-9.300.586;20;61;;
4.491.138;-929.932;2; null;;
4.497.097;-929.557;28; null;;
449.063;-9.293.584;2; null;;
4.496.052;-92.926;6; null;;
4.491.774;-9.292.112;24; null;;
4.489.318;-9.290.415;1; null;;
4.489.651;-9.288.632;1; null;;
4.490.285;-9.286.995;6; null;;
4.490.534;-9.318.649;33;64;;
4.496.319;-9.317.289;78;79;;
4.493.353;-9.315.783;62;68;;
4.493.443;-9.315.495;61;67;;
4.491.975;-931.399;57;72;;
449.908;-9.313.836;46;52;;
4.499.181;-9.313.591;40; null;;
4.493.012;-9.310.081;46;60;;
44.928;-9.307.586;65;45;;
4.498.354;-9.307.192;64;58;;
4.497.315;-9.307.177;86;55;;
4.497.926;-9.305.463;60;73;;
4.496.775;-9.303.638;39;37;;
4.496.525;-9.301.679;37;55;;
4.499.334;-9.301.556;40; null;;
4.492.291;-9.300.051;9; null;;
4.503.074;-9.299.838;14; null;;
4.495.002;-9.297.261;17; null;;
4.495.383;-9.296.755;35; null;;
4.497.565;-929.613;8; null;;
4.497.217;-9.295.555;28; null;;
4.491.533;-9.317.657;65;56;;
4.494.404;-9.316.996;81;79;;
4.496.129;-9.316.324;81;80;;
4.493.109;-9.316.309;69;69;;
449.369;-9.316.216;65;69;;
4.496.031;-9.315.396;57;72;;
4.493.371;-9.315.144;53;63;;
449.482;-9.314.517;75;69;;
4.496.847;-9.311.695;52;62;;
4.493.011;-9.307.329;65;50;;
4.498.641;-930.718;51;57;;
4.502.373;-9.306.257;4; null;;
4.500.756;-9.302.693;41; null;;
4.498.452;-9.302.662;65;55;;
4.499.474;-9.301.102;26; null;;
4.496.462;-9.299.683;29; null;;
4.498.075;-9.297.228;4; null;;
4.490.624;-9.296.644;20; null;;
4.498.083;-9.295.632;2; null;;
4.489.698;-9.295.619;3; null;;
4.492.845;-9.293.679;26; null;;
4.490.398;-9.293.032;5; null;;
4.491.197;-9.289.364;5; null;;
4.489.236;-9.288.729;1; null;;
4.490.358;-9.318.549;32;64;;
4.493.428;-9.312.252;61;77;;
4.497.642;-9.306.105;76;54;;
4.495.109;-9.304.536;31;63;;
4.499.542;-9.304.406;29; null;;
449.924;-9.301.684;53; null;;
4.503.527;-9.299.936;19; null;;
4.492.638;-9.298.368;14; null;;
4.489.957;-9.292.126;11; null;;
4.492.077;-928.865;11; null;;
4.489.927;-9.288.528;2; null;;
4.498.785;-9.319.727;58;62;;
4.494.462;-931.948;39;80;;
4.494.301;-9.317.666;80;76;;
4.496.085;-9.316.862;84;81;;
4.498.103;-9.315.606;51;76;;
4.493.307;-9.315.207;52;65;;
4.494.149;-9.314.095;88;72;;
4.494.394;-9.311.558;78;77;;
4.493.871;-9.310.233;66;67;;
4.498.302;-9.306.265;63;74;;
4.495.413;-9.305.625;57;54;;
4.500.272;-9.304.956;23; null;;
449.539;-9.303.775;36;36;;
4.499.115;-9.303.473;49;42;;
4.498.392;-9.303.099;48;51;;
4.495.783;-9.301.607;49;64;;
4.493.066;-9.301.387;16;45;;
4.502.923;-9.300.688;41; null;;
4.498.147;-9.297.383;15; null;;
4.491.661;-9.296.521;33; null;;
4.492.179;-9.296.402;53; null;;
4.496.562;-929.511;34; null;;
4.490.616;-9.294.704;7; null;;
4.491.684;-9.294.354;24; null;;
4.491.431;-9.289.574;8; null;;
4.494.245;-9.289.426;48; null;;
4.501.106;-9.289.093;1; null;;
4.492.925;-9.288.652;3; null;;
4.496.612;-9.287.832;4; null;;
4.490.085;-9.287.394;6; null;;
4.490.252;-9.318.351;40;63;;
4.493.057;-9.317.658;63;73;;
4.494.567;-9.317.387;80;78;;
4.498.344;-9.316.214;60;63;;
4.497.897;-931.589;50;79;;
449.331;-9.315.881;62;68;;
4.493.173;-9.315.495;64;68;;
4.492.536;-9.315.395;75;60;;
4.492.699;-9.314.111;62;69;;
4.492.522;-9.313.396;69;66;;
4.494.861;-9.313.345;73;57;;
   44.99;-9.312.646;18;39;;
449.666;-9.312.244;54;70;;
4.492.227;-9.307.929;51;36;;
4.498.017;-9.305.411;53;69;;
4.498.848;-9.304.231;37;54;;
4.498.928;-9.301.534;47;60;;
4.496.955;-9.301.294;34;53;;
4.492.987;-9.299.828;17; null;;
4.501.459;-9.296.012;7; null;;
4.492.158;-9.295.277;49; null;;
4.495.519;-929.524;25; null;;
4.489.295;-9.294.982;2; null;;
4.494.447;-9.294.835;36; null;;
4.493.117;-9.292.889;24; null;;
4.489.457;-9.292.591;13; null;;
4.490.933;-9.292.284;8; null;;
4.493.672;-9.291.007;33; null;;
4.490.306;-928.733;8; null;;
4.496.552;-9.320.685;73;80;;
449.025;-9.317.267;69;54;;
4.492.631;-9.316.846;69;67;;
4.494.229;-9.311.853;75;77;;
4.494.513;-9.311.244;77;72;;
4.498.838;-930.981;26;58;;
4.494.899;-9.309.752;97;59;;
4.492.783;-9.309.682;47;58;;
4.499.322;-9.308.427;19; null;;
4.495.015;-930.436;28;63;;
4.500.066;-9.303.367;28; null;;
4.498.998;-9.302.956;67;57;;
4.489.657;-9.297.002;4; null;;
4.497.222;-9.295.552;28; null;;
449.214;-9.295.097;44; null;;
4.497.921;-9.295.035;1; null;;
4.496.094;-9.293.157;20; null;;
4.488.217;-9.292.164;3; null;;
4.494.558;-9.291.843;53; null;;
4.495.828;-9.290.396;4; null;;
4.490.354;-9.289.373;3; null;;
4.491.181;-9.288.612;5; null;;
4.493.034;-9.287.864;1; null;;
4.492.584;-9.319.644;14;58;;
4.492.714;-9.318.455;63;67;;
4.492.978;-931.589;70;69;;
449.849;-9.313.688;29;59;;
44.972;-9.313.429;38;58;;
4.496.096;-9.311.681;77;78;;
4.500.045;-9.309.708;19; null;;
4.495.225;-9.309.073;94;60;;
449.702;-9.308.456;63;68;;
449.621;-9.305.815;69;66;;
4.499.433;-9.305.292;9; null;;
4.497.517;-930.487;58;70;;
4.495.685;-9.304.861;45;57;;
4.494.178;-9.301.472;40;63;;
4.493.031;-9.300.057;21; null;;
4.490.878;-9.297.625;21; null;;
4.495.854;-9.297.612;24; null;;
4.496.538;-9.296.655;53; null;;
4.491.356;-9.296.059;20; null;;
4.498.335;-929.541;1; null;;
4.495.663;-9.295.336;24; null;;
4.493.614;-9.291.133;27; null;;
4.495.548;-9.291.022;0; null;;
4.491.639;-9.287.965;5; null;;
4.490.055;-9.287.431;6; null;;
4.494.296;-9.316.157;74;78;;
4.498.705;-9.315.951;51;56;;
4.497.595;-9.315.712;41;74;;
4.498.911;-9.315.631;63;57;;
4.496.948;-9.314.361;41;66;;
4.497.228;-9.314.277;36;72;;
4.492.191;-9.310.157;71;56;;
4.495.883;-9.309.998;78;58;;
4.500.936;-9.308.208;12; null;;
4.496.229;-9.304.745;42;58;;
4.497.427;-930.385;61;68;;
4.503.233;-9.303.138;55; null;;
4.498.482;-9.303.131;53;53;;
4.495.776;-9.302.813;46;47;;
4.498.635;-9.301.802;53;63;;
4.503.135;-9.301.095;58; null;;
4.494.302;-9.300.868;25;62;;
4.503.311;-9.299.279;10; null;;
4.495.364;-9.297.275;20; null;;
4.502.468;-929.583;1; null;;
4.498.857;-9.295.079;5; null;;
4.488.634;-9.294.929;10; null;;
4.501.447;-9.293.499;0; null;;
4.491.475;-9.292.196;22; null;;
4.489.242;-9.290.432;2; null;;
4.493.552;-9.289.558;15; null;;
4.493.279;-9.288.838;3; null;;
4.493.274;-9.288.246;2; null;;
4.494.582;-9.316.841;83;80;;
4.498.024;-9.310.578;69;50;;
4.497.807;-931.021;65;56;;
4.493.521;-9.308.829;59;51;;
4.492.499;-9.308.086;63;39;;
4.495.776;-9.304.708;45;58;;
4.500.265;-9.303.559;36; null;;
4.495.877;-9.301.482;44;62;;
4.497.148;-9.301.234;25;54;;
4.502.889;-9.300.323;24; null;;
4.492.191;-9.300.114;8; null;;
4.494.793;-929.895;15; null;;
4.495.317;-9.294.904;20; null;;
4.492.378;-9.293.102;55; null;;
4.491.456;-9.289.271;5; null;;
4.492.947;-9.288.786;3; null;;
4.500.849;-9.287.874;6; null;;
4.492.713;-9.319.146;54;78;;
4.490.184;-9.317.661;61;53;;
4.498.766;-9.315.365;62;58;;
4.496.036;-9.314.278;61;60;;
4.494.085;-9.313.011;89;69;;
4.498.508;-9.312.518;28;44;;
4.494.794;-9.311.557;82;70;;
4.493.152;-9.310.006;39;44;;
4.497.763;-9.304.933;66;73;;
4.503.286;-9.303.187;55; null;;
4.497.251;-9.301.183;19;53;;
4.490.917;-9.297.626;21; null;;
4.502.001;-9.295.816;1; null;;
449.403;-9.292.459;58; null;;
4.494.503;-9.292.001;56; null;;
4.493.568;-9.289.849;8; null;;
449.007;-9.289.224;4; null;;
449.205;-9.288.714;12; null;;
4.501.049;-9.286.762;14; null;;
4.493.078;-9.318.907;56;71;;
4.495.336;-9.317.325;80;75;;
4.495.964;-931.651;82;82;;
4.498.251;-9.316.129;63;71;;
4.492.909;-9.314.697;63;65;;
4.497.429;-9.314.378;37;71;;
4.494.934;-9.314.202;72;60;;
4.495.883;-9.310.003;78;58;;
4.498.558;-9.308.012;36;53;;
4.497.937;-930.683;78;55;;
449.782;-9.306.807;83;53;;
4.497.684;-9.305.882;72;63;;
4.500.513;-9.305.015;24; null;;
4.500.719;-930.465;32; null;;
4.498.392;-9.303.241;48;50;;
4.503.344;-9.303.157;55; null;;
4.497.232;-9.302.326;40;44;;
4.492.807;-9.300.214;19; null;;
4.502.906;-9.299.908;15; null;;
4.498.806;-9.299.803;13; null;;
4.491.165;-9.298.205;16; null;;
4.493.306;-9.297.731;27; null;;
4.491.374;-9.296.266;22; null;;
4.491.875;-9.294.865;28; null;;
4.492.149;-9.289.406;13; null;;
4.492.849;-9.289.171;3; null;;
4.491.128;-9.288.387;4; null;;
4.490.055;-9.317.563;64;68;;
4.495.054;-9.317.375;68;77;;
4.497.662;-9.316.214;54;70;;
449.846;-9.316.046;53;59;;
4.498.895;-9.315.307;69;57;;
4.494.282;-9.314.815;80;79;;
4.497.429;-9.314.252;37;71;;
4.497.896;-931.047;70;51;;
4.497.531;-9.308.482;57;59;;
4.495.959;-9.305.091;52;52;;
4.498.326;-930.445;40;65;;
4.498.676;-9.301.635;46;61;;
4.499.965;-9.298.432;35; null;;
4.490.817;-9.297.586;21; null;;
4.497.039;-9.297.561;28; null;;
449.783;-9.297.163;2; null;;
4.500.351;-9.295.919;7; null;;
4.491.339;-9.294.835;12; null;;
449.078;-9.291.444;6; null;;
4.491.569;-9.291.163;14; null;;
4.491.169;-9.288.636;5; null;;
4.489.812;-9.287.737;5; null;;
4.496.662;-9.315.848;56;61;;
4.492.956;-9.314.618;59;57;;
4.495.672;-9.314.434;79;70;;
449.791;-9.313.428;29;66;;
4.498.754;-9.313.096;19;39;;
4.494.559;-9.311.654;81;70;;
4.495.576;-9.305.913;58;52;;
4.499.748;-9.302.771;40; null;;
4.497.325;-9.302.439;40;44;;
449.116;-9.298.084;18; null;;
4.496.329;-9.297.821;35; null;;
4.490.666;-9.296.136;9; null;;
4.489.202;-9.295.845;5; null;;
45.016;-9.295.618;0; null;;
4.498.403;-9.294.713;2; null;;
4.490.263;-928.967;4; null;;
4.492.029;-9.288.963;13; null;;
4.494.522;-9.318.498;71;78;;
4.494.871;-9.317.441;74;78;;
4.492.631;-9.317.125;63;68;;
4.493.269;-9.316.585;73;71;;
4.491.529;-9.314.853;47;49;;
4.490.952;-9.314.756;31;52;;
4.496.018;-9.313.786;67;63;;
4.494.164;-9.312.457;84;73;;
4.498.899;-930.789;17;50;;
449.704;-930.631;79;71;;
4.498.903;-9.304.932;17;57;;
4.495.768;-9.303.748;36;41;;
4.498.843;-9.303.059;67;57;;
4.497.527;-9.302.771;47;50;;
4.495.871;-9.301.994;47;56;;
4.497.855;-9.300.845;4;46;;
4.491.543;-9.295.675;21; null;;
4.492.068;-9.295.645;45; null;;
44.961;-9.293.078;20; null;;
449.405;-9.292.405;52; null;;
4.487.883;-9.291.752;0; null;;
4.496.663;-9.319.777;76;78;;
44.943;-9.318.143;73;75;;
4.497.762;-9.313.042;35;71;;
4.495.211;-9.309.074;94;60;;
4.495.675;-9.307.659;70;65;;
4.495.939;-9.305.042;52;52;;
4.502.916;-9.304.917;15; null;;
4.497.978;-9.303.812;62;64;;
4.503.358;-9.303.331;50; null;;
449.597;-9.301.282;38;63;;
4.493.673;-9.300.786;18;60;;
449.301;-9.300.203;22; null;;
4.497.277;-9.299.652;20; null;;
4.492.223;-9.294.506;31; null;;
4.492.266;-9.293.097;58; null;;
4.491.798;-9.292.452;41; null;;
4.487.234;-9.292.084;0; null;;
4.489.557;-9.287.778;1; null;;
4.492.899;-931.926;46;77;;
4.490.942;-9.318.138;42;40;;
449.318;-9.317.377;66;72;;
4.492.805;-9.316.481;70;68;;
4.498.537;-9.315.567;47;67;;
4.494.411;-9.311.747;80;75;;
4.493.892;-9.311.276;65;80;;
4.497.578;-9.311.056;60;51;;
4.493.287;-9.308.936;65;60;;
4.500.165;-9.304.323;35; null;;
4.498.711;-9.304.321;43;62;;
4.498.392;-9.303.393;51;51;;
4.498.451;-9.302.278;62;63;;
4.499.221;-9.300.974;36; null;;
450.029;-9.298.181;14; null;;
4.495.608;-929.689;41; null;;
4.490.653;-9.295.597;12; null;;
4.489.163;-9.294.036;3; null;;
4.493.605;-9.291.267;24; null;;
449.223;-9.290.081;12; null;;
4.490.119;-9.289.907;8; null;;
449.305;-9.288.503;2; null;;
4.493.583;-9.318.774;67;68;;
4.494.733;-9.312.417;85;63;;
4.493.521;-9.312.169;54;71;;
4.493.523;-9.311.224;60;73;;
4.498.989;-9.307.461;26;52;;
4.497.024;-9.306.473;80;72;;
4.495.056;-930.567;57;70;;
4.497.865;-930.512;59;71;;
4.503.085;-9.305.063;3; null;;
4.495.546;-9.303.567;30;35;;
449.742;-9.302.899;47;47;;
4.493.963;-9.294.522;52; null;;
4.493.989;-9.294.317;52; null;;
4.492.396;-9.293.617;38; null;;
4.490.641;-9.293.348;4; null;;
4.492.334;-9.292.313;7; null;;
4.491.093;-9.288.375;4; null;;
4.489.585;-928.837;2; null;;
4.492.879;-9.288.303;3; null;;
4.491.546;-9.317.867;67;58;;
4.494.405;-9.317.765;79;78;;
4.493.799;-9.315.968;69;72;;
4.492.063;-9.313.878;57;69;;
4.495.851;-931.273;83;76;;
4.494.317;-9.312.062;76;75;;
4.493.896;-931.126;65;80;;
4.496.163;-9.311.221;80;74;;
4.492.027;-931.017;73;54;;
4.499.389;-9.308.324;20; null;;
4.499.338;-9.306.842;14; null;;
450.278;-9.305.876;1; null;;
4.500.847;-930.389;28; null;;
450.198;-9.302.659;28; null;;
4.495.654;-9.302.091;55;51;;
4.501.551;-9.295.287;0; null;;
4.488.465;-9.295.032;7; null;;
4.491.925;-9.294.635;34; null;;
4.493.595;-9.293.037;64; null;;
4.487.134;-929.143;0; null;;
44.872;-9.291.097;0; null;;
4.494.513;-9.319.385;44;79;;
4.496.398;-9.317.358;72;79;;
4.495.361;-9.317.325;80;75;;
4.493.658;-9.317.172;73;72;;
4.497.747;-9.315.882;51;80;;
4.498.774;-9.314.621;63;66;;
4.498.854;-9.314.114;46;63;;
4.495.233;-9.313.952;72;60;;
4.498.053;-9.310.876;55;48;;
449.484;-9.306.386;49;47;;
4.499.308;-9.304.325;33; null;;
4.497.302;-9.304.232;58;71;;
450.267;-9.303.047;54; null;;
4.496.602;-9.302.341;46;50;;
4.499.379;-9.300.985;26; null;;
4.502.837;-9.300.283;24; null;;
4.496.314;-9.297.983;44; null;;
449.689;-9.296.632;43; null;;
4.488.659;-929.493;10; null;;
4.499.225;-9.293.276;2; null;;
4.488.206;-9.291.922;1; null;;
4.492.521;-928.806;3; null;;
4.494.283;-9.316.791;81;77;;
4.492.394;-9.312.741;59;77;;
4.494.115;-9.310.293;88;74;;
4.498.663;-9.308.143;28;56;;
4.500.704;-930.725;5; null;;
4.498.022;-9.306.345;71;71;;
4.495.013;-9.306.113;56;65;;
4.500.175;-9.302.986;29; null;;
4.498.374;-9.302.259;57;62;;
4.495.835;-9.301.282;46;67;;
449.553;-9.300.595;49;70;;
4.503.172;-9.299.506;14; null;;
4.492.731;-9.299.324;11; null;;
4.494.396;-9.298.672;24; null;;
449.024;-9.296.081;14; null;;
4.501.237;-9.296.066;8; null;;
449.823;-929.569;1; null;;
449.898;-9.295.562;3; null;;
4.497.336;-9.295.541;22; null;;
4.492.727;-9.288.924;3; null;;
4.493.381;-9.288.402;2; null;;
4.492.923;-9.287.781;1; null;;
4.491.145;-9.287.727;9; null;;
4.490.289;-9.287.329;8; null;;
4.496.543;-9.319.604;75;74;;
4.495.313;-9.319.147;51;61;;
4.493.445;-9.316.426;71;70;;
4.498.739;-9.316.318;56;55;;
4.492.445;-9.315.463;75;60;;
4.496.549;-9.315.237;42;61;;
4.498.974;-931.517;71;58;;
4.496.589;-9.314.865;41;64;;
4.491.594;-9.314.791;47;49;;
4.492.952;-9.314.169;53;65;;
4.492.778;-9.313.574;65;73;;
4.492.216;-931.297;56;72;;
4.498.966;-9.312.965;18;41;;
4.497.556;-9.312.012;41;65;;
4.497.424;-931.199;44;67;;
4.494.324;-9.311.478;75;70;;
449.993;-9.309.259;22; null;;
4.497.822;-930.592;72;63;;
4.501.479;-9.305.716;16; null;;
4.498.824;-9.304.932;16;58;;
4.501.929;-9.302.711;28; null;;
4.497.966;-9.302.564;51;56;;
4.496.733;-9.297.308;25; null;;
4.500.027;-9.297.306;12; null;;
4.489.644;-9.297.202;3; null;;
4.491.745;-9.296.401;35; null;;
4.500.344;-929.627;12; null;;
4.493.494;-9.291.358;24; null;;
4.491.911;-9.318.905;84;68;;
4.495.058;-9.318.834;56;71;;
4.494.848;-9.318.477;69;79;;
4.492.852;-9.316.309;73;67;;
449.293;-9.315.661;72;69;;
4.495.322;-9.313.882;75;64;;
4.498.296;-9.313.061;23;45;;
4.499.505;-9.308.109;20; null;;
4.503.625;-9.303.208;47; null;;
4.497.501;-9.301.172;13;50;;
449.673;-9.301.009;33;58;;
4.490.662;-9.300.082;12; null;;
4.491.313;-9.299.658;1; null;;
4.494.668;-9.298.066;23; null;;
4.498.183;-9.297.287;8; null;;
4.495.919;-9.296.947;41; null;;
4.496.862;-9.296.751;43; null;;
4.498.404;-9.296.585;4; null;;
4.492.218;-9.296.241;56; null;;
4.500.778;-9.296.202;7; null;;
4.491.452;-9.295.057;15; null;;
4.491.281;-9.291.741;7; null;;
4.501.036;-9.287.885;4; null;;
4.490.956;-9.287.059;9; null;;
4.490.818;-9.318.583;45;69;;
4.493.315;-931.794;67;73;;
4.493.057;-9.317.442;61;71;;
4.493.507;-9.316.152;66;68;;
4.492.097;-9.315.716;59;55;;
4.496.093;-9.314.707;59;67;;
4.495.491;-9.314.002;80;67;;
4.498.836;-9.313.707;27;50;;
4.492.344;-9.309.905;64;49;;
4.499.944;-9.308.089;22; null;;
4.501.071;-9.303.835;25; null;;
4.498.842;-9.302.693;71;58;;
4.494.223;-9.300.855;22;60;;
4.493.889;-929.022;44; null;;
4.491.217;-931.849;63;57;;
4.489.796;-931.817;39;45;;
4.491.805;-9.318.019;70;63;;
4.493.406;-9.317.369;72;72;;
4.491.532;-9.316.844;50;50;;
4.498.706;-9.315.721;51;57;;
4.492.999;-9.315.028;64;68;;
4.494.029;-9.311.057;71;80;;
4.496.552;-9.309.385;40;53;;
4.492.275;-9.308.479;44;33;;
4.497.867;-9.306.263;76;64;;
4.499.859;-9.303.558;29; null;;
4.503.461;-9.303.064;48; null;;
4.497.496;-9.302.667;46;48;;
4.497.763;-9.298.068;46; null;;
4.490.254;-9.296.539;16; null;;
4.497.713;-9.295.691;6; null;;
4.488.674;-929.493;10; null;;
4.491.677;-9.294.837;26; null;;
4.493.486;-9.289.585;14; null;;
4.489.701;-9.288.519;1; null;;
4.489.993;-9.288.108;4; null;;
4.490.285;-9.286.993;6; null;;
4.496.612;-932.071;73;80;;
4.492.636;-9.319.164;54;78;;
449.755;-9.319.104;61;78;;
4.498.706;-9.319.051;70;62;;
4.493.363;-9.318.065;72;72;;
4.496.357;-931.783;60;80;;
4.494.748;-9.315.428;65;83;;
4.493.131;-9.315.379;64;68;;
4.495.762;-9.314.286;76;65;;
449.802;-9.310.876;55;48;;
4.495.823;-9.309.984;81;56;;
4.491.908;-9.308.789;45;43;;
4.500.379;-9.308.373;22; null;;
4.498.184;-9.302.866;51;52;;
4.497.349;-9.301.491;24;50;;
4.491.828;-9.299.684;2; null;;
4.491.292;-9.298.682;4; null;;
4.499.965;-9.298.428;35; null;;
4.490.647;-9.296.799;22; null;;
4.490.107;-9.296.556;14; null;;
4.498.256;-9.294.842;2; null;;
4.489.933;-9.294.003;4; null;;
4.490.762;-9.290.496;6; null;;
4.492.342;-9.290.193;13; null;;
4.490.051;-9.289.561;6; null;;
4.490.262;-928.873;3; null;;
4.493.619;-931.836;71;72;;
4.492.951;-9.314.047;53;65;;
4.494.795;-9.310.911;78;66;;
4.499.668;-93.088;26; null;;
4.492.988;-9.308.437;74;46;;
4.494.296;-9.302.403;32;54;;
4.496.418;-9.302.259;43;54;;
4.498.631;-930.223;68;64;;
4.498.636;-930.163;46;61;;
4.503.509;-930.018;23; null;;
4.500.145;-9.296.656;15; null;;
4.490.253;-9.296.516;16; null;;
4.494.063;-929.513;30; null;;
4.500.932;-9.292.597;0; null;;
4.493.327;-9.289.768;11; null;;
4.501.754;-9.286.407;10; null;;
4.493.398;-9.319.372;45;82;;
4.491.889;-9.318.739;86;65;;
4.491.169;-9.317.316;45;40;;
4.493.236;-9.316.931;71;71;;
4.492.978;-9.315.875;70;69;;
4.496.143;-9.314.489;61;65;;
449.415;-9.314.275;88;73;;
4.499.166;-9.314.014;53;55;;
4.497.718;-9.312.872;37;70;;
449.894;-9.311.816;22;27;;
449.798;-9.311.216;47;48;;
4.498.891;-9.310.374;67;64;;
4.493.242;-9.309.173;61;62;;
4.493.117;-9.309.079;59;54;;
4.498.376;-9.306.299;63;74;;
4.497.864;-9.305.033;59;71;;
449.697;-9.302.341;50;46;;
4.492.775;-9.300.287;21; null;;
4.499.531;-9.300.224;24; null;;
4.492.109;-9.300.196;4; null;;
4.500.287;-929.816;14; null;;
4.490.985;-9.297.581;23; null;;
4.495.401;-9.297.342;20; null;;
4.489.128;-92.967;4; null;;
4.491.631;-9.294.564;23; null;;
4.493.917;-9.294.546;42; null;;
4.495.226;-929.216;14; null;;
